SA1_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
90103100303,4,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,4,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,4,6,8,4,11,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,4,12,0,0,0
90103100304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
90104100401,173,216,389,13,4,18,21,33,51,6,14,14,9,9,20,11,12,20,20,28,51,25,25,53,40,37,79,25,26,57,8,14,21,4,9,7,169,202,373,9,14,18,0,0,0,5,0,5,0,0,0,6,0,8,132,151,286,39,51,90,97,121,224,72,81,150,156,195,346,5,3,6,18,32,49,3,6,12,3,0,7,0,11,10,65,109,169,12,20,32,48,41,84,11,3,10,4,4,8,0,0,0,167,203,371,16,15,25
90104100402,181,195,373,11,8,13,28,29,52,9,14,21,11,4,14,9,12,19,20,24,48,22,20,40,39,39,75,22,25,49,12,15,27,0,6,4,175,186,361,0,9,13,0,0,0,0,0,0,0,0,0,0,0,0,111,117,224,39,46,82,87,105,187,67,60,124,139,148,288,3,0,8,21,18,41,11,4,13,3,3,6,0,7,7,64,79,140,8,9,18,41,35,74,9,5,14,3,0,8,0,0,0,159,155,310,33,35,71
90104100403,251,254,504,11,9,21,27,13,35,11,7,19,4,10,15,23,21,50,34,29,69,32,32,69,46,53,100,37,51,87,20,16,31,6,7,13,239,236,472,16,17,28,0,3,9,0,0,0,0,0,0,0,3,9,152,145,298,62,81,151,120,136,253,108,96,205,197,207,398,7,7,11,21,13,37,8,9,15,0,0,0,3,5,11,86,117,202,24,19,45,67,63,132,8,8,16,5,3,7,0,0,0,212,218,429,73,69,137
90104100404,215,253,468,12,7,20,30,25,50,11,11,18,9,11,22,12,21,37,18,27,46,27,41,69,41,45,85,29,37,64,18,20,38,6,5,12,197,234,431,17,22,43,3,0,6,0,0,0,0,0,0,3,3,8,125,132,258,59,85,143,119,132,245,59,86,145,156,184,338,3,0,4,20,15,38,8,7,10,0,0,5,0,10,13,66,96,168,14,18,36,41,55,98,12,6,22,0,0,4,0,0,0,151,195,355,61,65,130
90104100405,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,3,3,0,0,5,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0
90104100406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90104100407,231,213,452,14,11,27,41,16,56,8,9,20,6,12,13,10,20,35,19,16,37,37,29,64,27,41,66,40,30,68,14,26,43,6,0,10,222,202,428,11,12,28,0,3,3,0,0,0,0,0,0,0,3,3,150,126,276,43,57,105,110,121,229,86,72,154,183,177,359,7,3,12,35,16,49,6,8,15,0,7,7,0,0,7,68,98,167,13,14,24,53,43,94,5,6,12,0,0,0,0,0,0,190,180,370,41,36,76
90104100408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99797979993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99999949999,6,4,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,4,11,0,0,0,3,0,4,0,0,0,3,0,4,10,4,12,0,0,0,5,0,5,3,3,5,10,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
