SA1_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
90104100401,4,3,4,10,7,3,6,8,3,14,5,7,8,20,16,41,0,0,3,9,8,13,9,5,7,0,0,4,6,4,6,17,22,34,3,4,9,3,5,8,4,0,4,0,0,0,4,3,9,20,12,25,5,6,6,3,4,5,5,0,5,0,3,3,0,8,8,11,17,23,3,0,3,0,7,5,0,0,0,3,0,5,0,6,6,6,10,16,4,4,9,0,0,7,3,3,6,0,0,0,0,0,0,173,216,389
90104100402,6,4,3,9,9,4,10,5,0,7,3,6,5,18,18,39,0,0,3,4,3,7,3,6,9,11,6,10,3,0,7,14,18,35,0,3,5,4,5,8,0,0,0,0,5,10,3,0,9,10,18,27,7,3,8,6,3,9,0,0,0,0,3,6,0,0,0,11,12,23,0,3,4,0,5,5,7,0,7,0,0,4,0,0,0,7,9,16,10,4,10,0,0,0,0,0,0,0,0,0,0,0,0,181,195,373
90104100403,5,5,5,6,0,11,14,4,5,5,3,6,15,24,23,49,3,4,12,3,3,8,4,10,13,8,3,9,5,4,14,23,26,52,5,10,15,0,3,3,4,10,13,0,4,5,4,4,10,15,31,42,0,5,9,0,5,12,6,11,13,8,6,13,0,0,7,22,21,43,4,5,10,3,0,4,3,4,9,4,3,6,0,0,0,12,8,21,0,12,12,6,7,11,0,0,0,0,0,0,0,0,0,251,254,504
90104100404,9,7,3,11,4,0,8,3,3,12,8,9,13,22,19,39,3,3,8,7,10,13,6,3,10,0,4,4,5,7,8,23,30,46,0,4,10,3,6,10,4,3,10,0,11,10,0,0,0,12,24,37,0,0,0,0,5,5,4,3,7,3,0,9,0,0,3,14,15,28,6,0,3,0,4,4,0,4,3,3,4,9,0,6,3,13,14,26,5,3,16,0,0,9,5,3,3,0,0,0,0,0,0,215,253,468
90104100405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
90104100406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90104100407,4,3,3,8,0,0,6,0,6,6,5,7,11,12,24,38,5,3,5,5,3,7,3,0,3,3,3,10,5,5,9,22,16,35,4,8,14,3,3,3,3,7,5,4,0,5,6,0,5,21,15,35,3,0,8,4,4,8,3,8,10,3,0,3,5,0,5,19,11,33,0,3,3,0,0,4,0,3,5,3,8,6,0,0,0,6,14,20,8,13,23,3,0,7,3,0,3,0,0,0,0,0,0,231,213,452
90104100408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99797979993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99999949999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,11
