ASGS_Structure,Census_Code_2021,AGSS_Code_2021,Census_Name_2021,Area sqkm
IARE,IARE202018,202018,Wimmera,33955.3042
IARE,IARE202019,202019,Wodonga,17626.5299
IARE,IARE294994,294994,No usual address (Vic.),0
IARE,IARE297997,297997,Migratory - Offshore - Shipping (Vic.),0
IARE,IARE301001,301001,Beaudesert - Boonah,4251.8807
IARE,IARE301002,301002,Brisbane City,1349.6002
IARE,IARE301003,301003,Caboolture,1267.6014
IARE,IARE301004,301004,Caloundra,1039.8549
IARE,IARE301005,301005,Esk - Kilcoy,5370.6539
IARE,IARE301006,301006,Gatton - Laidley,2271.785
IARE,IARE301007,301007,Gold Coast,1333.386
IARE,IARE301008,301008,Ipswich,1078.1043
IARE,IARE301009,301009,Logan,958.1333
IARE,IARE301010,301010,Maroochy,1177.2738
IARE,IARE301011,301011,Noosa,868.7823
IARE,IARE301012,301012,Pine Rivers,773.3947
IARE,IARE301013,301013,Redcliffe,38.2742
IARE,IARE301014,301014,Redland,537.1672
IARE,IARE303001,303001,Aurukun,7423.9891
IARE,IARE303002,303002,Cape York,107605.5509
IARE,IARE303003,303003,Cooktown,24.4864
IARE,IARE303004,303004,Hope Vale,1111.7099
IARE,IARE303005,303005,Kowanyama,2555.3325
IARE,IARE303006,303006,Lockhart River,4200.782
IARE,IARE303007,303007,Mapoon - Napranum - Weipa,33.1158
IARE,IARE303008,303008,Northern Peninsula Area,1546.7024
IARE,IARE303009,303009,Pormpuraaw,4395.3654
IARE,IARE304001,304001,Boulia - Diamantina - Winton,209442.3811
IARE,IARE304002,304002,Carpentaria - Burke - Mornington,114443.5786
IARE,IARE304003,304003,Cloncurry - McKinlay,88708.0584
IARE,IARE304004,304004,Mount Isa,36149.1996
IARE,IARE305001,305001,Banana,28550.1865
IARE,IARE305002,305002,Barcaldine - Blackall - Longreach,124492.1462
IARE,IARE305003,305003,Bundaberg,6431.0889
IARE,IARE305004,305004,Central Capricorn,60225.3937
IARE,IARE305005,305005,Fraser Coast,7004.5083
IARE,IARE305006,305006,Gladstone,10484.2861
IARE,IARE305007,305007,Nebo - Clermont,58707.9192
IARE,IARE305008,305008,North Burnett,19669.8489
IARE,IARE305009,305009,Rockhampton - Yeppoon,18328.1353
IARE,IARE306001,306001,Balonne,31104.0851
IARE,IARE306002,306002,Bulloo - Quilpie - Barcoo,202966.8343
IARE,IARE306003,306003,Cherbourg,31.6002
IARE,IARE306004,306004,Cooloola - Gympie,3714.1975
IARE,IARE306005,306005,Dalby,28.0063
IARE,IARE306006,306006,Goondiwindi - Stanthorpe,21044.3161
IARE,IARE306007,306007,Jondaryan - Oakey,1844.4963
IARE,IARE306008,306008,Maranoa - Roma - Mitchell,58704.3911
IARE,IARE306009,306009,Murgon,579.8277
IARE,IARE306010,306010,Murweh,40699.7586
IARE,IARE306011,306011,Nanango - Kilkivan,4909.773
IARE,IARE306012,306012,Paroo,47614.9225
IARE,IARE306013,306013,South Burnett,6161.828
IARE,IARE306014,306014,Southern Downs,4477.8468
IARE,IARE306015,306015,Toowoomba - Central,142.3219
IARE,IARE306016,306016,Toowoomba - North,4024.562
IARE,IARE306017,306017,Toowoomba - South,6934.1341
IARE,IARE306018,306018,Western Downs,38771.1032
IARE,IARE307001,307001,Kaiwalagal - Inner Islands,330.9326
IARE,IARE307002,307002,Kalakawal - Top Western Islands,207.8099
IARE,IARE307003,307003,Kalalagal - Western Islands,296.4619
IARE,IARE307004,307004,Kulkalgal - Central Islands,32.6846
IARE,IARE307005,307005,Meriam - Eastern Islands,11.2617
IARE,IARE309001,309001,Atherton,622.4878
IARE,IARE309002,309002,Cairns,327.99
IARE,IARE309003,309003,Cairns - Far North Coast,619.2254
IARE,IARE309004,309004,Cairns - Southern Hinterlands,1750.7014
IARE,IARE309005,309005,Eacham,867.6794
IARE,IARE309006,309006,Herberton - Ravenshoe,9566.224
IARE,IARE309007,309007,Innisfail - Johnstone,1495.9266
IARE,IARE309008,309008,Kuranda - Croydon,122151.1909
IARE,IARE309009,309009,Mareeba,20.5466
IARE,IARE309010,309010,Tully - Cardwell - Jumbun,3055.5178
IARE,IARE309011,309011,Wujal Wujal and Outstations,1803.0278
IARE,IARE309012,309012,Yarrabah,158.8381
IARE,IARE310001,310001,Bowen (Qld),21144.8646
IARE,IARE310002,310002,Burdekin - Ayr,4948.4594
IARE,IARE310003,310003,Charters Towers,41.8593
IARE,IARE310004,310004,Flinders - Richmond - Dalrymple,136120.9906
IARE,IARE310005,310005,Ingham - Hinchinbrook,2807.1889
IARE,IARE310006,310006,Mackay,238.8744
IARE,IARE310007,310007,Mackay - Surrounds,2610.6357
IARE,IARE310008,310008,Mirani,3324.1403
IARE,IARE310009,310009,Palm Island,71.9928
IARE,IARE310010,310010,Proserpine - Whitsunday,2674.1083
IARE,IARE310011,310011,Sarina,1439.6459
IARE,IARE310012,310012,Thuringowa,242.2022
IARE,IARE310013,310013,Townsville,166.1413
IARE,IARE310014,310014,Townsville - Surrounds,3417.9488
IARE,IARE394994,394994,No usual address (Qld),0
IARE,IARE397997,397997,Migratory - Offshore - Shipping (Qld),0
IARE,IARE401001,401001,Adelaide - Prospect - Walkerville,26.8948
IARE,IARE401002,401002,Adelaide Hills - Mount Barker,1387.0378
IARE,IARE401003,401003,Barossa,3101.755
IARE,IARE401004,401004,Berri - Barmera,792.0857
IARE,IARE401005,401005,Campbelltown - Norwood,41.5506
IARE,IARE401006,401006,Charles Sturt,54.4513
IARE,IARE401007,401007,Fleurieu - Kangaroo Island,7363.5869
IARE,IARE401008,401008,Gawler,42.2619
IARE,IARE401009,401009,Holdfast Bay - West Torrens,51.1175
IARE,IARE401010,401010,Loxton - Waikerie - Mid Murray,13954.7067
IARE,IARE401011,401011,Marion,55.5367
IARE,IARE401012,401012,Murray Bridge,1925.7329
IARE,IARE401013,401013,Murray Mallee,19193.6315
IARE,IARE401014,401014,Onkaparinga,518.1954
IARE,IARE401015,401015,Playford,346.7279
IARE,IARE401016,401016,Port Adelaide - Enfield,100.6388
IARE,IARE401017,401017,Renmark Paringa,916.442
IARE,IARE401018,401018,Salisbury,159.2354
IARE,IARE401019,401019,South-East,21336.388
IARE,IARE401020,401020,Tea Tree Gully,94.2993
IARE,IARE401021,401021,Unley - Burnside - Mitcham,117.3354
IARE,IARE401022,401022,Wakefield - Clare and Gilbert Valleys,5327.9234
IARE,IARE401023,401023,Yorke Peninsula,8393.6768
IARE,IARE402001,402001,Anangu Pitjantjatjara,102359.1511
IARE,IARE402002,402002,Coober Pedy - Umoona,77.6795
IARE,IARE402003,402003,Eyre,514889.2223
IARE,IARE402004,402004,Flinders,25228.1155
IARE,IARE402005,402005,Port Augusta,1157.9905
IARE,IARE402006,402006,Whyalla,24877.4725
IARE,IARE403001,403001,Ceduna,5163.8798
IARE,IARE403002,403002,Ceduna - West Coast,225136.3595
IARE,IARE403003,403003,Port Lincoln,40.3378
IARE,IARE494994,494994,No usual address (SA),0
IARE,IARE497997,497997,Migratory - Offshore - Shipping (SA),0
IARE,IARE501001,501001,Broome,260.6855
IARE,IARE501002,501002,Broome - Surrounds,55132.8625
IARE,IARE502001,502001,Carnarvon - Mungullah,78.2669
IARE,IARE502002,502002,Carnegie South - Mount Magnet,133041.1613
IARE,IARE502003,502003,Central West Coast,26144.4727
IARE,IARE502004,502004,Geraldton,289.575
IARE,IARE502005,502005,Irwin - Morawa,25833.66
IARE,IARE502006,502006,Meekathara - Karalundi,100188.5478
IARE,IARE502007,502007,Shark Bay - Coral Bay - Upper Gascoyne,128507.8609
IARE,IARE503001,503001,Esperance - Ravensthorpe,55660.6599
IARE,IARE503002,503002,Kalgoorlie - Dundas - Goldfields,218581.6465
IARE,IARE503003,503003,Kalgoorlie - Ningia Mia,102.71
IARE,IARE503004,503004,Laverton - Ngaanyatjarraku,339788.4285
IARE,IARE503005,503005,Menzies - Leonora,156030.4802
IARE,IARE503006,503006,Warburton,21.5057
IARE,IARE503007,503007,Wiluna,181297.3382
IARE,IARE504001,504001,Argyle - Warmun,19028.6518
IARE,IARE504002,504002,Great Sandy Desert,104459.4731
IARE,IARE504003,504003,Halls Creek,45.1727
IARE,IARE504004,504004,Halls Creek - Surrounds,30820.4286
IARE,IARE504005,504005,Kalumburu,4.0475
IARE,IARE504006,504006,Kununurra,14.9384
IARE,IARE504007,504007,North Kimberley,98677.6764
IARE,IARE504008,504008,Wyndham,2.2361
IARE,IARE505001,505001,Armadale,559.5258
IARE,IARE505002,505002,Bassendean,10.3449
IARE,IARE505003,505003,Bayswater,32.4775
IARE,IARE505004,505004,Belmont,25.9414
IARE,IARE505005,505005,Canning,65.0429
IARE,IARE505006,505006,Cockburn,179.849
IARE,IARE505007,505007,Fremantle,22.4276
IARE,IARE505008,505008,Gosnells,127.2976
IARE,IARE505009,505009,Joondalup,99.017
