ASGS_Structure,Census_Code_2021,AGSS_Code_2021,Census_Name_2021,Area sqkm
UCL,UCL112008,112008,Forster - Tuncurry,32.6648
UCL,UCL112009,112009,Goulburn,55.5759
UCL,UCL112010,112010,Griffith,47.93
UCL,UCL112011,112011,Kurri Kurri,26.1116
UCL,UCL112012,112012,Lismore (NSW),40.251
UCL,UCL112013,112013,Mildura - Buronga (Buronga Part),5.8912
UCL,UCL112014,112014,Morisset - Cooranbong,43.7484
UCL,UCL112015,112015,Nowra - Bomaderry,37.9355
UCL,UCL112016,112016,Orange,56.8283
UCL,UCL112017,112017,Port Macquarie,43.8921
UCL,UCL112018,112018,Tamworth,38.2173
UCL,UCL112019,112019,Wagga Wagga,71.5314
UCL,UCL113001,113001,Ballina,15.6931
UCL,UCL113002,113002,Batemans Bay,22.3825
UCL,UCL113003,113003,Broken Hill,25.7209
UCL,UCL113004,113004,Byron Bay,21.8576
UCL,UCL113005,113005,Grafton,42.1678
UCL,UCL113006,113006,Kempsey,47.0402
UCL,UCL113007,113007,Kiama,13.0378
UCL,UCL113008,113008,Lithgow,24.1517
UCL,UCL113009,113009,Medowie,14.4774
UCL,UCL113010,113010,Mudgee,23.7291
UCL,UCL113011,113011,Muswellbrook,13.2246
UCL,UCL113012,113012,Nelson Bay,11.4693
UCL,UCL113013,113013,Raymond Terrace,25.5358
UCL,UCL113014,113014,Singleton,17.2382
UCL,UCL113015,113015,St Georges Basin - Sanctuary Point,9.3471
UCL,UCL113016,113016,Taree,37.8066
UCL,UCL113017,113017,Ulladulla,21.665
UCL,UCL113018,113018,Yarrawonga - Mulwala (Mulwala Part),10.582
UCL,UCL114001,114001,Alstonville,4.5383
UCL,UCL114002,114002,Camden Haven,18.8362
UCL,UCL114003,114003,Casino,12.1923
UCL,UCL114004,114004,Cooma,17.7928
UCL,UCL114005,114005,Cootamundra,9.098
UCL,UCL114006,114006,Corowa - Wahgunyah (Corowa Part),24.962
UCL,UCL114007,114007,Cowra,23.8754
UCL,UCL114008,114008,Deniliquin,35.3535
UCL,UCL114009,114009,Estella,8.9939
UCL,UCL114010,114010,Forbes,22.6071
UCL,UCL114011,114011,Glen Innes,10.123
UCL,UCL114012,114012,Googong,6.9164
UCL,UCL114013,114013,Gunnedah,33.352
UCL,UCL114014,114014,Helensburgh,4.4292
UCL,UCL114015,114015,Inverell,19.9113
UCL,UCL114016,114016,Leeton,13.1093
UCL,UCL114017,114017,Lennox Head,6.0278
UCL,UCL114018,114018,Merimbula,22.6365
UCL,UCL114019,114019,Moree,18.8279
UCL,UCL114020,114020,Moss Vale,13.5625
UCL,UCL114021,114021,Murwillumbah,26.3283
UCL,UCL114022,114022,Nambucca Heads,13.6229
UCL,UCL114023,114023,Narrabri,18.1258
UCL,UCL114024,114024,Parkes,17.1642
UCL,UCL114025,114025,Pottsville,8.9595
UCL,UCL114026,114026,Richmond North,5.3625
UCL,UCL114027,114027,Salamander Bay - Soldiers Point,5.5698
UCL,UCL114028,114028,Scone,11.0081
