ASGS_Structure,Census_Code_2021,AGSS_Code_2021,Census_Name_2021,Area sqkm
SA3,31607,31607,Nambour,345.8863
SA3,31608,31608,Noosa Hinterland,820.066
SA3,31701,31701,Toowoomba,2258.7953
SA3,31801,31801,Charters Towers - Ayr - Ingham,76209.8055
SA3,31802,31802,Townsville,3826.2923
SA3,31901,31901,Bundaberg,3786.0985
SA3,31902,31902,Burnett,30736.8312
SA3,31903,31903,Gympie - Cooloola,6975.2345
SA3,31904,31904,Hervey Bay,251.5566
SA3,31905,31905,Maryborough,6752.9517
SA3,39797,39797,Migratory - Offshore - Shipping (Qld),0
SA3,39999,39999,No usual address (Qld),0
SA3,40101,40101,Adelaide City,15.5733
SA3,40102,40102,Adelaide Hills,1388.1169
SA3,40103,40103,Burnside,27.5183
SA3,40104,40104,Campbelltown (SA),25.3679
SA3,40105,40105,Norwood - Payneham - St Peters,15.1036
SA3,40106,40106,Prospect - Walkerville,11.3215
SA3,40107,40107,Unley,14.2703
SA3,40201,40201,Gawler - Two Wells,306.865
SA3,40202,40202,Playford,356.8037
SA3,40203,40203,Port Adelaide - East,34.8401
SA3,40204,40204,Salisbury,150.1709
SA3,40205,40205,Tea Tree Gully,91.3141
SA3,40301,40301,Holdfast Bay,13.14
SA3,40302,40302,Marion,56.1995
SA3,40303,40303,Mitcham,74.3702
SA3,40304,40304,Onkaparinga,519.372
SA3,40401,40401,Charles Sturt,53.3186
SA3,40402,40402,Port Adelaide - West,67.7726
SA3,40403,40403,West Torrens,38.4474
SA3,40501,40501,Barossa,2837.1519
SA3,40502,40502,Lower North,13728.9588
SA3,40503,40503,Mid North,14409.4799
SA3,40504,40504,Yorke Peninsula,6740.7943
SA3,40601,40601,Eyre Peninsula and South West,235294.8179
SA3,40602,40602,Outback - North and East,642477.7578
SA3,40701,40701,Fleurieu - Kangaroo Island,7363.5869
SA3,40702,40702,Limestone Coast,21336.388
SA3,40703,40703,Murray and Mallee,36782.5988
SA3,49797,49797,Migratory - Offshore - Shipping (SA),0
SA3,49999,49999,No usual address (SA),0
SA3,50101,50101,Augusta - Margaret River - Busselton,3664.3233
SA3,50102,50102,Bunbury,5449.5137
SA3,50103,50103,Manjimup,15688.5749
SA3,50201,50201,Mandurah,1032.8629
SA3,50301,50301,Cottesloe - Claremont,48.7152
SA3,50302,50302,Perth City,43.5389
SA3,50401,50401,Bayswater - Bassendean,44.6693
SA3,50402,50402,Mundaring,685.4311
SA3,50403,50403,Swan,1032.3315
SA3,50501,50501,Joondalup,100.486
SA3,50502,50502,Stirling,99.3262
SA3,50503,50503,Wanneroo,684.2006
SA3,50601,50601,Armadale,559.5258
SA3,50602,50602,Belmont - Victoria Park,60.1098
SA3,50603,50603,Canning,68.1883
SA3,50604,50604,Gosnells,127.2976
SA3,50605,50605,Kalamunda,283.8001
SA3,50606,50606,Serpentine - Jarrahdale,904.7635
SA3,50607,50607,South Perth,20.3068
SA3,50701,50701,Cockburn,148.2103
SA3,50702,50702,Fremantle,41.6515
SA3,50703,50703,Kwinana,120.0123
SA3,50704,50704,Melville,53.4537
SA3,50705,50705,Rockingham,257.6907
SA3,50901,50901,Albany,37888.1495
SA3,50902,50902,Wheat Belt - North,110694.5772
SA3,50903,50903,Wheat Belt - South,48762.8059
SA3,51001,51001,Kimberley,419245.0882
SA3,51002,51002,East Pilbara,390711.986
SA3,51003,51003,West Pilbara,116066.0889
SA3,51101,51101,Esperance,55660.6599
SA3,51102,51102,Gascoyne,135064.617
SA3,51103,51103,Goldfields,714524.7709
SA3,51104,51104,Mid West,466794.755
SA3,59797,59797,Migratory - Offshore - Shipping (WA),0
SA3,59999,59999,No usual address (WA),0
SA3,60101,60101,Brighton,176.0777
SA3,60102,60102,Hobart - North East,265.9424
SA3,60103,60103,Hobart - North West,168.2969
SA3,60104,60104,Hobart - South and West,328.5062
SA3,60105,60105,Hobart Inner,62.2114
SA3,60106,60106,Sorell - Dodges Ferry,694.3265
SA3,60201,60201,Launceston,260.7087
SA3,60202,60202,Meander Valley - West Tamar,3978.9607
SA3,60203,60203,North East,15735.6666
SA3,60301,60301,Central Highlands (Tas.),18426.7331
SA3,60302,60302,Huon - Bruny Island,2192.6815
SA3,60303,60303,South East Coast,3202.6379
SA3,60401,60401,Burnie - Ulverstone,1604.4732
SA3,60402,60402,Devonport,1894.3586
SA3,60403,60403,West Coast,19025.9579
SA3,69797,69797,Migratory - Offshore - Shipping (Tas.),0
SA3,69999,69999,No usual address (Tas.),0
SA3,70101,70101,Darwin City,40.6351
SA3,70102,70102,Darwin Suburbs,136.0284
SA3,70103,70103,Litchfield,2938.5111
SA3,70104,70104,Palmerston,52.5288
SA3,70201,70201,Alice Springs,569600.4059
SA3,70202,70202,Barkly,303211.1804
SA3,70203,70203,Daly - Tiwi - West Arnhem,112294.8533
SA3,70204,70204,East Arnhem,33606.5893
SA3,70205,70205,Katherine,326253.7608
SA3,79797,79797,Migratory - Offshore - Shipping (NT),0
SA3,79999,79999,No usual address (NT),0
SA3,80101,80101,Belconnen,112.2636
SA3,80103,80103,Canberra East,211.7957
SA3,80104,80104,Gungahlin,91.8779
SA3,80105,80105,North Canberra,44.7228
SA3,80106,80106,South Canberra,44.4113
SA3,80107,80107,Tuggeranong,159.6268
SA3,80108,80108,Weston Creek,18.1487
SA3,80109,80109,Woden Valley,28.6004
SA3,80110,80110,Molonglo,27.1507
SA3,80111,80111,Uriarra - Namadgi,1619.5351
SA3,89797,89797,Migratory - Offshore - Shipping (ACT),0
SA3,89999,89999,No usual address (ACT),0
SA3,90101,90101,Christmas Island,136.1356
SA3,90102,90102,Cocos (Keeling) Islands,13.7258
SA3,90103,90103,Jervis Bay,67.2296
SA3,90104,90104,Norfolk Island,38.651
SA3,99797,99797,Migratory - Offshore - Shipping (OT),0
SA3,99999,99999,No usual address (OT),0
SA2,101021007,101021007,Braidwood,3418.3525
SA2,101021008,101021008,Karabar,6.9825
SA2,101021009,101021009,Queanbeyan,4.762
SA2,101021010,101021010,Queanbeyan - East,13.0032
SA2,101021012,101021012,Queanbeyan West - Jerrabomberra,13.6748
SA2,101021610,101021610,Googong,6.9164
SA2,101021611,101021611,Queanbeyan Surrounds,3047.7057
SA2,101031013,101031013,Bombala,3990.144
SA2,101031014,101031014,Cooma,103.6371
SA2,101031015,101031015,Cooma Surrounds,6251.0158
SA2,101031016,101031016,Jindabyne - Berridale,3939.7888
SA2,101041017,101041017,Batemans Bay,63.7073
SA2,101041018,101041018,Batemans Bay - South,30.5948
SA2,101041019,101041019,Bega - Tathra,183.8984
SA2,101041020,101041020,Bega-Eden Hinterland,4709.8265
SA2,101041021,101041021,Broulee - Tomakin,24.2329
SA2,101041022,101041022,Deua - Wadbilliga,2781.9988
SA2,101041023,101041023,Eden,94.8138
SA2,101041024,101041024,Eurobodalla Hinterland,1460.0118
SA2,101041025,101041025,Merimbula - Tura Beach,97.3395
SA2,101041026,101041026,Moruya - Tuross Head,165.4118
SA2,101041027,101041027,Narooma - Bermagui,252.652
SA2,101051539,101051539,Goulburn,64.7865
SA2,101051540,101051540,Goulburn Surrounds,9035.1222
SA2,101061541,101061541,Yass,99.7341
